Date,Amount,Description,Category
6/17/2023,$271.19,Zoomo - E-Bike Rent,Other
6/17/2023,$7.00,Woolworths - Sushi Rolls,Food
6/18/2023,$27.55,Social Brew Cafe,Food
6/18/2023,$41.95,JB Hi-Fi - Portable Power,Utilities
6/19/2023,$420.00,Rent,Home
6/19/2023,$17.10,Talay Thai,Food
6/20/2023,$10.00,Opal  Card,Transportation
6/21/2023,$15.00,Opal  Card,Transportation
6/22/2023,$44.10,Optus Billing,Personal
6/22/2023,$7.00,Coles - Libra pad,Personal
6/22/2023,$18.40,Coles - Snakcs,Food
6/23/2023,$15.00,Opal  Card,Transportation
6/23/2023,$15.00,Kitchen 11 Chippendale,Food
6/24/2023,$26.09,Sticky Fingers,Food
6/24/2023,$44.70,Uniqlo,Utilities
6/24/2023,$31.09,Zoomo,Transportation
6/25/2023,$34.50,Gallon Pyrmonth,Food
6/26/2023,$49.26,Thaikee IGA,Food
6/26/2023,$15.90,Golden Tower,Food
6/27/2023,$1.00,Opal  Card,Transportation
6/27/2023,$15.00,Opal  Card,Transportation
6/27/2023,$9.00,Kmart - USB A-C,Utilities
6/27/2023,$27.35,Coles,Food
6/28/2023,$1.00,Opal  Card,Transportation
6/28/2023,$30.45,Total Tool,Utilities
6/29/2023,$8.82,Cha Social,Food
6/30/2023,$15.00,Opal  Card,Transportation
6/30/2023,$1.00,Opal  Card,Transportation
6/30/2023,$6.08,Cha Social,Food
7/1/2023,$44.06,Temu,Utilities
7/1/2023,$24.25,Coles ,Food
7/1/2023,$24.00,Basax,Food
7/2/2023,$14.00,Mum Dim Sum Kirribilli,Food
7/2/2023,$15.00,Opal  Card,Transportation
7/2/2023,$10.20,Sushi Hub Manly,Food
7/2/2023,$2.88,Tongli Supermarket,Food
7/2/2023,$8.90,Charmhor,Food
7/2/2023,$2.20,Woolworths,Food
7/3/2023,$420.00,Rent,Home
7/3/2023,$4.86,Patreon,Other
7/3/2023,$250.00,Sydney Ebike Rentals - Bond,Other
7/3/2023,$73.50,Sydney Ebike Rentals,Transportation
7/3/2023,$17.14,Talay Thai,Food
7/3/2023,$0.50,Sydney Ebike Rentals,Transportation
7/4/2023,$15.00,Opal  Card,Transportation
7/5/2023,$15.00,Opal  Card,Food
7/5/2023,$15.90,Golden Tower,Food
7/5/2023,$5.58,Thaikee IGA,Food
7/5/2023,$9.99,Chemist Warehouse,Health/medical
7/5/2023,$35.45,Coles,Food
7/7/2023,$10.23,Tongli Supermarket,Food
7/7/2023,$7.00,Coles,Food
7/8/2023,$200.00,Wise - Credit Card,Personal
7/9/2023,$18.71,Mae ong Thai,Food
7/9/2023,$10.05,Coles,Food
7/10/2023,$9.99,Chemist Warehouse,Health/medical
7/10/2023,$10.00,Opal  Card,Transportation
7/10/2023,$10.99,Chemist Warehouse,Health/medical
7/10/2023,$2.00,SomO,Personal
7/10/2023,$73.50,Sydney E-bike rental,Transportation
7/10/2023,$12.50,Woolworths - Laundry,Utilities
7/10/2023,$6.60,Woolworths - Snacks,Food
7/11/2023,$24.29,Coles,Food
7/12/2023,$10.00,Opal  Card,Transportation
7/12/2023,$37.50,Gallon Pyrmonth,Food
7/12/2023,$200.00,Fine - Opal Card,Transportation
7/13/2023,$36.45,Nationalcrime - Ubereat,Other
7/14/2023,$11.00,Angry Tonys Pizza,Food
7/15/2023,$22.55,Coles,Food
7/16/2023,$1.45,Woolworths - Gloves,Utilities
7/16/2023,$20.00,Tongli Supermarket,Food
7/16/2023,$4.70,Woolworths,Food
7/16/2023,$420.00,Rent,Home
7/17/2023,$10.00,Opal  Card,Transportation
7/17/2023,$10.99,Chemist Warehouse,Health/medical
7/17/2023,$4.89,Thaikee IGA,Food
7/17/2023,$73.50,Sydney E-bike rental,Transportation
7/18/2023,$5.00,Woolworths - Shin,Food
7/18/2023,$17.74,Angry Tonys Pizza,Food
7/21/2023,$19.69,VN Street Foods Marrickvile,Food
7/21/2023,$10.00,Opal Card,Transportation
7/21/2023,$10.76,Azuki Bakery,Food
7/21/2023,$27.69,Coles Broadway,Food
7/22/2023,$9.98,Tongli Supermarket,Food
7/22/2023,$27.41,Rice & Curry Pyrmont,Food
7/23/2023,$5.45,Woolworths,Utilities
7/23/2023,$15.90,Betty Burgers Bondi Beach,Food
7/24/2023,$27.00,RSAT TAFE NSW,Other
7/24/2023,$17.00,RSAT TAFE NSW,Other
7/24/2023,$73.50,Sydney E-bike rental,Transportation
7/25/2023,$25.98,Chemist Warehouse - Twisted ankle,Health/medical
7/25/2023,$15.95,Uber - Rice & Curry,Food
7/26/2023,$10.00,Opal Card,Transportation
7/26/2023,$11.50,GoFen,Health/medical
7/26/2023,$12.99,Apc Newway Pty - 2 Choice,Food
7/26/2023,$15.90,Prik Thai,Food
7/27/2023,$10.00,Opal Card,Transportation
7/27/2023,$12.67,Tongli Supermarket,Food
7/27/2023,$110.00,Essential Med Imagin,Health/medical
7/27/2023,$6.20,Chapayom,Food
7/27/2023,$9.20,Woolworths,Food
7/27/2023,$50.00,Wise,Personal
7/28/2023,$17.20,Social Brew Cafe,Food
7/28/2023,$21.33,Rice & Curry Pyrmont,Food
7/28/2023,$5.00,Movie,Other
7/29/2023,$16.52,Woolworths,Food
7/30/2023,$30.64,Bonditonys Burger Bondi Beach,Food
7/30/2023,$11.85,Yo Chi Surry Hills,Food
7/30/2023,$8.90,Charmhor,Food
7/31/2023,$420.00,Rent,Home
7/31/2023,$16.99,Chemist Warehouse - Sunscreen,Health/medical
7/31/2023,$73.50,Sydney E-bike rental,Transportation
8/1/2023,$0.01,Debit Excess Interest,Other
8/1/2023,$10.00,Opal Card,Transportation
8/1/2023,$18.00,Khaosarn,Food
8/1/2023,$17.40,Yod,Food
8/1/2023,$4.85,Coles World Square - Snacks,Food
8/1/2023,$13.67,Tongli Supermarket,Food
8/1/2023,$7.00,Woolworths,Food
8/2/2023,$5.00,Rice & Curry Pyrmont,Food
8/3/2023,$4.92,Patreon,Personal
8/3/2023,$29.42,Khaokang Maruay,Food
8/4/2023,$22.95,Coles Pyrmont,Food
8/5/2023,$19.00,Khaokang Maruay,Food
8/5/2023,$259.82,Zoomo,Transportation
8/5/2023,$17.75,Tongli Supermarket,Food
8/6/2023,$27.00,Sushi on Stanley,Food
8/6/2023,$10.33,Yo Chi Surry Hills,Food
8/6/2023,$6.99,Chemist Warehouse - Dencorub Heat Gel,Health/medical
8/7/2023,$10.00,Opal Card,Transportation
8/7/2023,$34.27,Talays Thai Seafo Chippendale,Food
8/7/2023,$6.60,Woolworths,Food
8/8/2023,$7.96,Tongli Supermarket,Food
8/8/2023,$200.00,Wise,Personal
8/9/2023,$15.00,Opal Card,Transportation
8/9/2023,$24.30,Coles,Food
8/10/2023,$12.01,Yo Chi Surry Hills,Food
8/12/2023,$8.78,Yo Chi Surry Hills,Food
8/13/2023,$73.32,Zoomo,Transportation
8/14/2023,$450.00,Rent,Home
8/14/2023,$7.99,Chemist Warehouse - Pimple,Personal
8/14/2023,$25.80,Khao Kang Maruay,Food
8/15/2023,$10.00,Opal Card,Transportation
8/15/2023,$10.00,Opal Card,Transportation
8/15/2023,$36.75,Coles Broadway,Food
8/16/2023,$18.25,Single-O,Food
8/17/2023,$5.56,Paramount Coffee,Food
8/17/2023,$7.60,Prempree,Food
8/19/2023,$32.46,Coles,Food
8/19/2023,$91.09,Zoomo,Transportation
8/20/2023,$19.79,Tongli Supermarket,Food
8/20/2023,$4.99,Tongli Supermarket,Snacks
8/21/2023,$10.00,Oral B Gum Care,FMCG
8/21/2023,$4.00,Coles Tweezer,Utilities
8/21/2023,$6.40,"Mcvities Digestives, Smith Baked",Snacks
8/21/2023,$25.28,Coles Supermarket,Food
8/22/2023,$44.10,Optus Billing Autopay,Personal
8/24/2023,$11.70,Coles - Broadway,Snacks
8/24/2023,$16.39,Coles - Broadway,Food
8/25/2023,$19.91,Temu - E-commerce,Utilities
8/26/2023,$7.16,Paramount - Large Ice Latte,Food
8/26/2023,$20.00,Yod - Thai Food,Food
8/26/2023,$91.09,Zoomo,Transportation
8/26/2023,$5.00,5 Star Kebab House - Pizza,Food
8/27/2023,$100.00,Wise,Personal
8/27/2023,$450.00,Rental,Home
8/27/2023,$7.75,Coles - Vege Chips,Snacks
8/27/2023,$15.50,Coles -Rice & Strawberries,Food
8/31/2023,$4.75,Woolworth - Rexona,FMCG
8/31/2023,$14.85,Woolworth Snacks,Snacks
9/1/2023,-$0.01,Debit Excess Interest,Other
9/2/2023,$91.09,Zoomo,Transportation
9/3/2023,$4.98,Patreon,Personal
9/3/2023,$15.90,Mae ong thai - Crispy Pork,Food
9/3/2023,$4.50,Elastic Ponytailor,Utilities
9/3/2023,$15.00,"Coles - Pads, Toliet Tissue",FMCG
9/4/2023,$19.83,Coles -Food,Food
9/8/2023,$100.00,Wise,Personal
9/10/2023,$420.00,Rental,Home
9/11/2023,$5.50,Subway snacks,Snacks
9/13/2023,$10.00,Opal,Transportation
9/13/2023,$4.70,Subway snacks,Snacks
9/14/2023,$8.00,Coles - Libra pads,FMCG
9/14/2023,$12.90,Mae ong thai - Pad thai,Food
9/15/2023,$100.00,Wise,Personal
9/15/2023,$4.25,Woolworths - Dish washer,FMCG
9/15/2023,$9.50,Woolworths - Snacks,Snacks
9/15/2023,$9.10,Woolworths - Food,Food
9/15/2023,$10.05,Coles - Snacks,Snacks
9/17/2023,$10.00,Opal,Transportation
9/18/2023,$30.00,Opal,Transportation
9/19/2023,$4.00,Subway snacks,Snacks
9/20/2023,$5.50,Subway snacks,Snacks
9/20/2023,$10.15,Sugar Less Concept,Snacks
9/20/2023,$3.99,Woolworth,Snacks
9/21/2023,$24.38,Sugar Less Concept,Food
9/22/2023,$44.10,Optus Billing Autopay,Personal
9/23/2023,$19.00,Yolo Cafe,Food
9/24/2023,$10.00,Opal,Transportation
9/25/2023,$420.00,Rent,Home
9/25/2023,$6.00,Delisse Sydney,Food
9/26/2023,$100.00,Wise,Personal
9/26/2023,$19.00,Yolo Cafe,Food
9/27/2023,$10.00,Opal,Transportation
9/28/2023,"$1,605.00",Straithfield Student feess,Other
9/28/2023,$10.00,Opal,Transportation
9/29/2023,$5.50,Yolo Cafe,Coffee
9/29/2023,$9.00,Yolo Cafe,Food
9/29/2023,$14.85,Porntip,Food
9/30/2023,$45.00,Infinity Clinic,Other
9/30/2023,$5.50,The Q,Coffee
10/1/2023,$6.00,Yolo Cafe,Coffee
10/1/2023,$13.00,Yolo Cafe,Food
10/2/2023,$15.00,Opal,Transportation
10/2/2023,$13.00,Tulip Ticket,Travel
10/2/2023,$20.59,Shumona Bowral,Food
10/3/2023,$10.00,Salmon,Food
10/3/2023,$5.04,Patreon,Personal
10/3/2023,$10.00,Opal,Transportation
10/3/2023,$2.40,Coles,Food
10/4/2023,$6.50,Anotherplace Pot Pont,Coffee
10/4/2023,$16.47,Anotherplace Pot Pont,Food
10/4/2023,$10.00,Opal,Transportation
10/4/2023,$3.50,Woolworths,Food
10/5/2023,$7.00,Darling Hurst,Coffee
10/5/2023,$24.40,Yod,Food
10/8/2023,$6.00,Yolo Cafe,Coffee
10/8/2023,$10.00,Yolo Cafe,Food
10/8/2023,$10.00,Opal,Transportation
10/9/2023,$420.00,Rent,Home
10/10/2023,$10.10,Woolworths,Snacks
10/10/2023,$6.00,Yolo Cafe,Coffee
10/10/2023,$12.00,Yolo Cafe,Food
10/11/2023,$10.00,Opal,Transportation
10/12/2023,$600.00,Wise,Personal
10/12/2023,$11.48,Woolworths - Pad,FMCG
10/12/2023,$9.00,Delisse,Food
10/12/2023,$3.80,Woolworths,Snacks
10/12/2023,$28.00,United Work Union,Other
10/13/2023,$8.00,Delisse,Food
10/13/2023,$2.40,Woolworths,Food
10/14/2023,$10.00,Opal,Transportation
10/15/2023,$6.50,Kingswood Coffee,Coffee
10/16/2023,$12.50,Breakfast Burger,Food
10/16/2023,$5.50,Ice Latte,Coffee
10/16/2023,$6.50,Kingswood Coffee,Coffee
10/16/2023,$18.52,YGF Mala,Food
10/16/2023,$10.24,Opal,Transportation
10/17/2023,$10.00,Opal,Transportation
10/17/2023,$24.00,"Big W - Umbellar, Socks",Utilities
10/17/2023,$160.00,Kathmandu Clothing,Shopping
10/17/2023,$160.00,Assembly label,Shopping
10/17/2023,$4.80,Coles,Snacks
10/17/2023,$18.24,Show Neua,Food
10/18/2023,$10.00,Opal,Transportation
10/18/2023,$15.15,A.P. Bakery,Coffee
10/18/2023,$16.14,Rice & Curry,Food
10/18/2023,$10.00,Opal,Transportation
10/19/2023,$20.00,Opal,Transportation
10/20/2023,$4.00,Tom & Gerry,Coffee
10/20/2023,$9.00,Lime,Transportation
10/20/2023,$44.99,Universal studio,Shopping
10/20/2023,$9.00,Hero Sushi,Snacks
10/20/2023,$14.21,The Morrison,Snacks
10/21/2023,$20.00,Satang Thai,Food
10/21/2023,$36.72,Single-O,Coffee
10/22/2023,$44.10,Optus Billing,Personal
10/22/2023,$30.92,Lox in A Box,Food
10/23/2023,$420.00,Rent,Home
10/23/2023,$7.96,Woolworths,Snacks
10/24/2023,$10.00,Yolo and Co Pyrmont,Food
10/24/2023,$6.00,Yolo and Co Pyrmont,Coffee
10/24/2023,$14.50,Lime,Transportation
10/24/2023,$6.50,Bar Tosca,Coffee
10/24/2023,$4.50,BarTosca,Coffee
10/24/2023,$10.00,Opal,Transportation
10/24/2023,$5.65,Five Star Kebab,Food
10/25/2023,$10.00,Opal,Transportation
10/25/2023,$13.67,Sushi on Kent,Food
10/25/2023,$6.09,Back Row West,Coffee
10/25/2023,$10.00,Opal,Transportation
10/25/2023,$12.17,I love Pizza,Food
10/26/2023,$300.00,Wise,Personal
10/26/2023,$13.67,Sushi on Kent,Food
10/26/2023,$13.50,Diego Aza Pty (Copy Key),Other
10/26/2023,$20.80,Maruay,Food
10/26/2023,$5.00,Edition Roasters,Coffee
10/26/2023,$28.00,Uwu,Other
10/27/2023,$10.00,Opal,Transportation
10/27/2023,$7.80,Breadtop,Snacks
10/27/2023,$30.35,Back Row West,Food
10/27/2023,$6.06,Gong Cha,Coffee
10/27/2023,$15.00,Uwu overdraw,Other
10/28/2023,$17.36,New Dumpling,Food
10/28/2023,$10.00,Yolo and Co Pyrmont,Food
10/28/2023,$6.00,Yolo and Co Pyrmont,Coffee
10/28/2023,$10.00,Opal,Transportation
10/28/2023,$24.77,Rice & Curry,Food
10/28/2023,$50.00,Pi Yai Tax Agent,Other
10/29/2023,$19.01,Khao San,Food
10/29/2023,$6.06,Gong Cha,Coffee
10/30/2023,$6.50,Kingswood,Coffee
10/30/2023,$6.00,Kingswood,Snacks
10/30/2023,$20.00,Opal,Transportation
10/30/2023,$3.00,Woolworths,Snacks
10/31/2023,$50.00,Wise,Personal
10/31/2023,$6.00,Yolo and Co Pyrmont,Coffee
10/31/2023,$10.00,Yolo and Co Pyrmont,Food
10/31/2023,$8.12,Back Row West,Coffee
11/1/2023,$0.03,Debit Excess interest,Other
11/1/2023,$10.00,Opal,Transportation
11/1/2023,$13.00,Saltie,Coffee
11/1/2023,$13.20,Sayong Curry & Laksa,Food
11/2/2023,$8.60,Sushi Hub,Food
11/2/2023,$16.67,Laksa King,Food
11/2/2023,$10.00,Opal,Transportation
11/2/2023,$18.24,Show Neua Thai,Food
11/3/2023,$20.00,Opal,Transportation
11/3/2023,$15.23,Back Row West,Food
11/3/2023,$8.12,Back Row West,Coffee
11/3/2023,$5.05,Patreon,Personal
11/3/2023,$12.50,Kingswood,Coffee
11/3/2023,$17.22,Show Neua Thai,Food
11/4/2023,$31.15,A.P. Bakery House,Coffee
11/4/2023,$16.14,Rice & Curry,Food
11/5/2023,$1.85,Thai Kee,Snacks
11/5/2023,$7.07,Rivareno Gelato,Coffee
11/5/2023,$24.00,Coles (Flybuys $10 off),FMCG
11/5/2023,$11.80,Coles,Snacks
11/5/2023,$11.79,Coles,Food
11/6/2023,$420.00,Rent,Home
11/8/2023,$11.30,Sushi on Kent,Food
11/8/2023,$7.07,Rivareno Gelato,Coffee
11/8/2023,$10.00,Opal,Transportation
11/9/2023,$19.05,Infinity Bakery,Coffee
11/9/2023,$13.67,Sushi on Kent,Food
11/9/2023,$28.00,Uwu,Other
11/9/2023,$10.00,Opal,Transportation
11/9/2023,$11.40,KFC,Food
11/10/2023,$9.00,Urban Barrel,Food
11/10/2023,$5.50,Urban Barrel,Coffee
11/10/2023,$16.23,Malay Chinese,Food
11/10/2023,$13.00,Kingswood,Coffee
11/10/2023,$8.08,Millennium Conven,FMCG
11/10/2023,$7.07,Gong Cha,Coffee
11/10/2023,$6.75,Woolworths,Snacks
11/11/2023,$6.00,Yolo and Co Pyrmont,Coffee
11/11/2023,$13.00,Yolo and Co Pyrmont,Food
11/11/2023,$16.14,Rice & Curry,Food
11/12/2023,$18.00,Satang Thai,Food
11/12/2023,$22.29,Prik Thai,Food
11/12/2023,$99.00,Ralph Lauren Aus,Shopping
11/12/2023,$39.99,Chemist Warehouse,Utilities
11/12/2023,$6.07,Bourke St Bakery,Coffee
11/12/2023,$20.37,Dopa Donburi,Food
11/12/2023,$9.59,Anita,Snacks
11/13/2023,$6.30,Social Brew,Coffee
11/13/2023,$19.50,Social Brew,Food
11/13/2023,$20.00,Opal,Transportation
11/13/2023,$20.41,Coles,Food
11/14/2023,$6.90,Breadtop,Snacks
11/14/2023,$6.06,Gong Cha,Coffee
11/15/2023,$10.00,Opal,Transportation
11/15/2023,$11.80,Sushi Hub,Food
11/15/2023,$6.60,Saltie,Coffee
11/15/2023,$17.22,Show Neua Thai,Food
11/15/2023,$10.00,Opal,Food
11/15/2023,$10.40,Woolworths,Snacks
11/16/2023,$10.50,Cafe Kentaro,Coffee
11/16/2023,$10.00,Opal,Transportation
11/16/2023,$6.70,Paddy Market,Food
11/17/2023,$420.00,Rent,Home
11/17/2023,$6.00,Yolo and Co Pyrmont,Coffee
11/17/2023,$10.00,Yolo and Co Pyrmont,Food
11/18/2023,$20.00,Eyebrow wax,Personal
11/18/2023,$7.09,Artificer specialt,Coffee
11/18/2023,$18.53,Mr Stonebowl,Food
11/18/2023,$7.61,Tiger sugar,Coffee
11/18/2023,$70.00,Wise,Personal
11/19/2023,$6.07,Cafe Creasion,Coffee
11/20/2023,$2.50,Mint - Paddy Market,Food
11/20/2023,$16.65,Satang Thai,Food
11/20/2023,$7.61,Machi Machi,Coffee
11/20/2023,$10.00,Opal,Transportation
11/21/2023,$12.00,Artificer,Coffee
11/21/2023,$16.50,Bettys Burgers,Food
11/21/2023,$10.13,Artsicle Five Dock,Snacks
11/21/2023,$1.20,Woolworths,Snacks
11/21/2023,$10.00,Opal,Transportation
11/22/2023,$44.10,Optus Billing,Personal
11/22/2023,$6.07,Cafe Creasion,Coffee
11/22/2023,$45.81,Sushi Mori,Food
11/22/2023,$10.00,Opal,Transportation
11/22/2023,$13.15,Woolworths,Snacks
11/23/2023,$19.50,Fouratefive - Leo Bagel,Food
11/23/2023,$8.34,Fouratefive - Leo Bagel,Coffee
11/23/2023,$28.00,Uwu,Other
11/23/2023,$12.52,Pontip,FMCG
11/23/2023,$10.00,Opal,Transportation
11/24/2023,$98.99,Chemist - Narciso,Shopping
11/24/2023,$51.00,"Chemist - Laroche, Rexona",FMCG
11/24/2023,$14.71,Khaokang Maruay,Food
11/24/2023,$6.60,Machi Machi,Coffee
11/24/2023,$10.00,Opal,Transportation
11/24/2023,$6.00,Woolworths,Snacks
11/25/2023,$100.00,Wise,Personal
11/25/2023,$7.50,Coffee - State Library,Coffee
11/26/2023,$6.75,Starbuck,Coffee
11/26/2023,$5.58,Dream Tea,Coffee
11/27/2023,$6.07,Social Brew,Coffee
11/27/2023,$6.06,Gong Cha,Coffee
11/27/2023,$20.25,Pontip,FMCG
11/28/2023,$10.00,Opal,Transportation
11/28/2023,$2.24,Transport Credit Tap,Transportation
11/28/2023,$20.00,Hair Cut,Personal
11/28/2023,$7.61,Machi Machi,Coffee
11/28/2023,$4.00,Subway Snacks,Snacks
11/29/2023,$10.00,Opal,Transportation
11/29/2023,$24.81,Bertos Espresso,Coffee
11/29/2023,$6.50,Artificer,Coffee
11/29/2023,$10.00,Opal,Transportation
11/30/2023,$7.61,Machi Machi,Coffee
11/30/2023,$11.25,Oporto,Food
11/30/2023,$10.00,Opal,Transportation
11/30/2023,$2.24,Transport Credit Tap,Transportation
12/1/2023,$10.00,Yolo and Co Pyrmont,Food
12/1/2023,$6.00,Yolo and Co Pyrmont,Coffee
12/1/2023,$7.07,Gong Cha,Coffee
12/1/2023,$22.37,Pontip,FMCG
12/1/2023,$6.85,Woolworths,Snacks
12/2/2023,$17.15,Rice & Curry,Food
12/2/2023,$7.61,Machi Machi,Coffee
12/2/2023,$4.25,Coles - Container 2L,Utilities
12/2/2023,$3.50,Coles - Nuggets,Snacks
12/2/2023,$15.25,Coles - Snacks,Snacks
12/2/2023,$25.00,Coles - FMCG,FMCG
12/2/2023,$11.40,Coles - Food,Food
12/2/2023,$2.24,Transport Credit Tap,Transportation
12/2/2023,$10.00,Opal,Transportation
12/3/2023,$16.13,Khaokang Maruay,Food
12/3/2023,$420.00,Rent,Home
12/4/2023,$150.00,Wise,Personal
12/4/2023,$6.07,Social Brew,Coffee
12/4/2023,$6.07,Social Brew,Snacks
12/5/2023,$7.07,Gong Cha,Coffee
12/5/2023,$4.86,Patreon,Personal
12/5/2023,$13.50,Shortstop,Snacks
12/5/2023,$7.70,Starbucks,Coffee
12/5/2023,$2.24,Transport Credit Tap,Transportation
12/5/2023,$10.00,Opal,Home
12/5/2023,$22.15,Coles - Food,Food
12/6/2023,$6.60,Machi Machi,Coffee
12/6/2023,$10.00,Opal,Transportation
12/7/2023,$5.08,Tobys Estate,Coffee
12/7/2023,$9.00,Delisse,Snacks
12/7/2023,$28.00,Uwu,Personal
12/8/2023,$22.00,Haven Specialty,Coffee
12/8/2023,$6.60,Machi Machi,Coffee
12/8/2023,$9.03,Banana Fried - Maruay,Snacks
12/9/2023,$7.61,Machi Machi,Coffee
12/9/2023,$16.90,Jumbo Thai,Food
12/9/2023,$11.94,Coles -Snacks,Snacks
12/10/2023,$12.10,Edition Roasters,Coffee
12/11/2023,$6.22,Social Brew,Coffee
12/11/2023,$13.00,Social Brew,Food
12/11/2023,$12.30,Starbucks,Coffee
12/11/2023,$20.00,Opal,Transportation
12/12/2023,$18.17,Chaixi,Food
12/12/2023,$13.00,Yolo and Co Pyrmont,Food
12/12/2023,$5.50,Yolo and Co Pyrmont,Coffee
12/12/2023,$6.75,Starbucks,Coffee
12/12/2023,$7.07,Gong Cha,Coffee
12/13/2023,$6.07,Cafe Creasion,Coffee
12/13/2023,$6.95,Starbucks,Coffee
12/13/2023,$5.75,Starbucks,Snacks
12/13/2023,$8.34,Woolworths,Snacks
12/14/2023,$10.00,Opal,Transportation
12/14/2023,$11.30,Sushi Hub,Food
12/14/2023,$4.50,Tom & Gerry,Coffee
12/14/2023,$8.12,Back Row West,Coffee
12/14/2023,$16.70,Starbucks,Coffee
12/15/2023,$10.00,Opal,Transportation
12/15/2023,$6.07,Cafe Creasion,Coffee
12/15/2023,$7.11,Back Row West,Coffee
12/15/2023,$17.81,Yokyor,Food
12/15/2023,$10.00,Yokyor - Banana Fried,Snacks
12/15/2023,$10.00,Opal,Transportation
12/16/2023,$420.00,Rent,Home
12/16/2023,$6.07,Cafe Creasion,Coffee
12/16/2023,$18.70,Cafe Creasion,Food
12/16/2023,$20.00,Opal - Domestic Airport,Transportation
12/16/2023,$20.00,Opal - Domestic Airport,Transportation
12/16/2023,$0.80,Big W,Utilities
12/17/2023,$6.60,Machi Machi,Coffee
12/17/2023,$17.76,VN Street Food,Food
12/17/2023,$6.06,Gong Cha,Coffee
12/18/2023,$10.75,Beam,Transportation
12/18/2023,$13.20,Sushi on Kent,Food
12/18/2023,$5.00,Tom & Gerry,Coffee
12/18/2023,$10.00,Opal,Transportation
12/19/2023,$6.85,Beam,Transportation
12/19/2023,$8.63,Sushi on Kent,Food
